name,SMILES,PubChem
"7,8-Benzfluoranthene",C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC5=C4C3=CC=C5,https://pubchem.ncbi.nlm.nih.gov/compound/9152
"Indeno[1,2,3-cd]pyrene",C1=CC=C2C(=C1)C3=C4C2=CC5=CC=CC6=C5C4=C(C=C6)C=C3,https://pubchem.ncbi.nlm.nih.gov/compound/9131
Decane,CCCCCCCCCC,https://pubchem.ncbi.nlm.nih.gov/compound/15600
"2,2,4-Trimethylhexane",CCC(C)CC(C)(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/28022
"3,5-Dimethyloctane",CCCC(C)CC(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/139989
"1,4,5-Trimethylnaphthalene",CC1=C2C(=CC=C(C2=CC=C1)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/16478
"2,4,6-Trimethylheptane",CC(C)CC(C)CC(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/137658
4-Ethyltoluene,CCC1=CC=C(C=C1)C,https://pubchem.ncbi.nlm.nih.gov/compound/12160
Acenaphthene,C1CC2=CC=CC3=C2C1=CC=C3,https://pubchem.ncbi.nlm.nih.gov/compound/6734
3-Methylphenanthrene,CC1=CC2=C(C=C1)C=CC3=CC=CC=C32,https://pubchem.ncbi.nlm.nih.gov/compound/13258
4-Ethyl-2-methylhexane,CCC(CC)CC(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/18312
"2,5-Dimethylheptane",CCC(C)CCC(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/16662
Fluoranthene,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,https://pubchem.ncbi.nlm.nih.gov/compound/9154
P-Xylene,CC1=CC=C(C=C1)C,https://pubchem.ncbi.nlm.nih.gov/compound/7809
"1,5-Dimethylnaphthalene",CC1=C2C=CC=C(C2=CC=C1)C,https://pubchem.ncbi.nlm.nih.gov/compound/11306
Chrysene,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,https://pubchem.ncbi.nlm.nih.gov/compound/9171
"1,8-Dimethylnaphthalene",CC1=C2C(=CC=CC2=CC=C1)C,https://pubchem.ncbi.nlm.nih.gov/compound/11287
3-Methyloctane,CCCCCC(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/16664
"1,3,6-Trimethylnaphthalene",CC1=CC2=CC(=CC(=C2C=C1)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/18197
"1,2,4-Trimethylnaphthalene",CC1=CC(=C(C2=CC=CC=C12)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/75933
4-Methylnonane,CCCCCC(C)CCC,https://pubchem.ncbi.nlm.nih.gov/compound/28455
Cumene,CC(C)C1=CC=CC=C1,https://pubchem.ncbi.nlm.nih.gov/compound/7406
Trimethylbenzene,CC1=C(C(=CC=C1)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/10686
4-Propylheptane,CCCC(CCC)CCC,https://pubchem.ncbi.nlm.nih.gov/compound/137855
"2,3,3-Trimethylhexane",CCCC(C)(C)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/28023
